time,veh_u,veh_v,model_GRU_lon_2080.pt
0.0,0.0,0.0047,0.023553116247057915
0.01,0.0,0.00433,0.023553116247057915
0.02,0.0,0.00397,0.023553116247057915
0.03,0.0,0.00362,0.023553116247057915
0.04,0.0,0.00327,0.023553116247057915
0.05,0.0,0.00294,0.023553116247057915
0.06,0.0,0.00263,0.023553116247057915
0.07,0.0,0.00233,0.023553116247057915
0.08,0.0,0.00204,0.023553116247057915
0.09,0.0,0.00178,0.023553116247057915
0.1,0.0,0.00153,0.023553116247057915
0.11,0.0,0.00131,0.023553116247057915
0.12,0.0,0.00111,0.023553116247057915
0.13,0.0,0.0,0.023553116247057915
0.14,0.0,0.0,0.023553116247057915
0.15,0.0,0.0,0.023553116247057915
0.16,0.0,0.0,0.023553116247057915
0.17,0.0,0.0,0.023553116247057915
0.18,0.0,0.0,0.023553116247057915
0.19,0.0,0.0,0.023553116247057915
0.2,0.0,0.0,0.023553116247057915
0.21,0.0,0.0,0.023553116247057915
0.22,0.0,0.0,0.023553116247057915
0.23,0.0,0.0,0.023553116247057915
0.24,0.0,0.0,0.023553116247057915
0.25,0.0,0.0,0.023553116247057915
0.26,0.0,0.0,0.023553116247057915
0.27,0.0,0.0,0.023553116247057915
0.28,0.0,0.0,0.023553116247057915
0.29,0.0,0.0,0.023553116247057915
0.3,0.0,0.00103,0.023553116247057915
0.31,0.0,0.00117,0.023553116247057915
0.32,0.0,0.0013,0.023553116247057915
0.33,0.0,0.00144,0.023553116247057915
0.34,0.0,0.00158,0.023553116247057915
0.35,0.0,0.00169,0.023553116247057915
0.36,0.0,0.00184,0.023553116247057915
0.37,0.0,0.00196,0.023553116247057915
0.38,0.0,0.00207,0.023553116247057915
0.39,0.0,0.00217,0.023553116247057915
0.4,0.0,0.00224,0.023553116247057915
0.41,0.0,0.00229,0.023553116247057915
0.42,0.0,0.00234,0.023553116247057915
0.43,0.0,0.00235,0.023553116247057915
0.44,0.0,0.00234,0.023553116247057915
0.45,0.0,0.0023,0.023553116247057915
0.46,0.0,0.00222,0.023553116247057915
0.47,0.0,0.00214,0.023553116247057915
0.48,0.0,0.00197,0.023553116247057915
0.49,0.0,0.00179,0.023553116247057915
0.5,0.0,0.00157,0.023553116247057915
0.51,0.0,0.00132,0.023553116247057915
0.52,0.0,0.00103,0.023553116247057915
0.53,0.0,0.0,0.023553116247057915
