time,veh_u,veh_v,model_T_lon_100.pt,model_T_lon_101.pt,model_T_lon_102.pt,model_T_lon_103.pt,model_T_lon_104.pt,model_T_lon_105.pt,model_T_lon_106.pt,model_T_lon_107.pt,model_T_lon_108.pt,model_T_lon_109.pt,model_T_lon_110.pt,model_T_lon_111.pt,model_T_lon_112.pt,model_T_lon_113.pt,model_T_lon_114.pt,model_T_lon_115.pt,model_T_lon_116.pt,model_T_lon_117.pt,model_T_lon_118.pt,model_T_lon_119.pt,model_T_lon_120.pt,model_T_lon_121.pt,model_T_lon_122.pt,model_T_lon_123.pt,model_T_lon_124.pt,model_T_lon_125.pt,model_T_lon_126.pt,model_T_lon_127.pt,model_T_lon_64.pt,model_T_lon_65.pt,model_T_lon_66.pt,model_T_lon_67.pt,model_T_lon_68.pt,model_T_lon_69.pt,model_T_lon_70.pt,model_T_lon_71.pt,model_T_lon_72.pt,model_T_lon_73.pt,model_T_lon_74.pt,model_T_lon_75.pt,model_T_lon_76.pt,model_T_lon_77.pt,model_T_lon_78.pt,model_T_lon_79.pt,model_T_lon_80.pt,model_T_lon_81.pt,model_T_lon_82.pt,model_T_lon_83.pt,model_T_lon_84.pt,model_T_lon_85.pt,model_T_lon_86.pt,model_T_lon_87.pt,model_T_lon_88.pt,model_T_lon_89.pt,model_T_lon_90.pt,model_T_lon_91.pt,model_T_lon_92.pt,model_T_lon_93.pt,model_T_lon_94.pt,model_T_lon_95.pt,model_T_lon_96.pt,model_T_lon_97.pt,model_T_lon_98.pt,model_T_lon_99.pt
0.1,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.11,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.12,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.13,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.14,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.15,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.16,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.17,0.0,0.0,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.18,0.0,0.00166,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.19,0.0,0.00241,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.2,0.0,0.0031,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.21,0.0,0.00374,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.22,0.0,0.00432,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.23,0.0,0.00485,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.24,0.0,0.00532,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.25,0.0,0.00574,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.26,0.0,0.0061,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.27,0.0,0.0064,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.28,0.0,0.00665,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
0.29,0.0,0.00685,-0.14555491507053375,-0.1657625138759613,-0.1205008327960968,0.3630804717540741,-0.09864319860935211,-0.16411063075065613,-0.016833961009979248,0.5189218521118164,-0.16722950339317322,-0.17677059769630432,-0.09553955495357513,0.5289689302444458,-0.19621235132217407,-0.13388416171073914,-0.14724886417388916,0.28311866521835327,-0.17155782878398895,-0.18993204832077026,-0.06658108532428741,0.3308493196964264,-0.19495509564876556,-0.1704189032316208,-0.08592425286769867,0.32925015687942505,-0.0947144627571106,-0.0818038135766983,-0.11823908984661102,0.5319876670837402,-0.2037225365638733,-0.1547827422618866,-0.15090405941009521,0.39466580748558044,-0.15440315008163452,-0.0849650502204895,-0.058647334575653076,0.45580917596817017,-0.27265849709510803,-0.059760838747024536,-0.0991506278514862,0.29207831621170044,-0.11341550946235657,-0.11908727884292603,0.10041534900665283,0.43694278597831726,-0.1052294373512268,-0.1977839171886444,0.011204361915588379,0.44425925612449646,-0.1252201497554779,-0.10758760571479797,0.05394262075424194,0.6265500783920288,-0.12799593806266785,-0.083356112241745,-0.06447795033454895,0.21332162618637085,-0.07049578428268433,-0.02502746880054474,-0.029600530862808228,0.31208208203315735,-0.1516883671283722,-0.16237950325012207,-0.1310107260942459,0.36617082357406616
