Time,imu_COG_acc_x,imu_COG_acc_y,imu_COG_acc_z,imu_COG_gyro_roll_rate,imu_COG_gyro_pitch_rate,imu_COG_gyro_yaw_rate,wheel_speed_FL,wheel_speed_FR,wheel_speed_RL,wheel_speed_RR,drive_torque_FL,drive_torque_FR,drive_torque_RL,drive_torque_RR,brake_pressure_FL,brake_pressure_FR,brake_pressure_RL,brake_pressure_RR,rwa_FM,rwa_RM,veh_u,veh_v
0,0.13601,0.05422,0.05422,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.01,0.12813,0.05811,0.05811,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.02,0.13204,0.06982,0.06982,0,0,0.00199,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.03,0.13587,0.05418,0.05418,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.04,0.12792,0.07367,0.07367,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.05,0.11265,0.05815,0.05815,0,0,0.00199,0,0,0,0,0,0,0.17114,0.17114,29.6,29.6,23.10526,23.10526,0,0,0,0
0.06,0.09696,0.05422,0.05422,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.07,0.10477,0.07766,0.07766,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.08,0.1123,0.05804,0.05804,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.09,0.10839,0.06195,0.06195,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.1,0.09305,0.07766,0.07766,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
0.11,0.08119,0.05418,0.05418,0,0,0,0,0,0,0,0,0,0,0,29.6,29.6,23.10526,23.10526,0,0,0,0
